data_type,tree_type,model,tree_num,build,is_verbose,log_likelihood,rates_info
AA,rooted,LG+R4,tree_9,OPENACC,False,-68.7165,"(0.2779,0.9999) (0.1429,0.9999) (0.3304,1.0001) (0.2487,1.0001) [1         0.9999         0.2779 |   2         0.9999         0.1429 |   3         1.0001         0.3304 |   4         1.0001         0.2487]"
AA,rooted,LG+R4,tree_9,OPENACC,True,-68.716488,"(0.277942,0.999868) (0.142930,0.999892) (0.330426,1.000078) (0.248702,1.000107) [1         0.999868       0.277942 |   2         0.999892       0.142930 |   3         1.000078       0.330426 |   4         1.000107       0.248702]"
AA,rooted,LG+R4,tree_9,VANILA,False,-68.7165,"(0.2779,0.9999) (0.1429,0.9999) (0.3304,1.0001) (0.2487,1.0001) [1         0.9999         0.2779 |   2         0.9999         0.1429 |   3         1.0001         0.3304 |   4         1.0001         0.2487]"
AA,rooted,LG+R4,tree_9,VANILA,True,-68.716488,"(0.277942,0.999868) (0.142930,0.999892) (0.330426,1.000078) (0.248702,1.000107) [1         0.999868       0.277942 |   2         0.999892       0.142930 |   3         1.000078       0.330426 |   4         1.000107       0.248702]"
AA,unrooted,LG,tree_1,OPENACC,False,-39.1115,
AA,unrooted,LG,tree_1,VANILA,False,-39.1115,
AA,unrooted,LG,tree_10,OPENACC,False,-26.8698,
AA,unrooted,LG,tree_10,VANILA,False,-26.8698,
AA,unrooted,LG,tree_2,OPENACC,False,-34.0114,
AA,unrooted,LG,tree_2,VANILA,False,-34.0114,
AA,unrooted,LG,tree_3,OPENACC,False,-42.58,
AA,unrooted,LG,tree_3,VANILA,False,-42.58,
AA,unrooted,LG,tree_4,OPENACC,False,-33.1938,
AA,unrooted,LG,tree_4,VANILA,False,-33.1938,
AA,unrooted,LG,tree_5,OPENACC,False,-33.1292,
AA,unrooted,LG,tree_5,VANILA,False,-33.1292,
AA,unrooted,LG,tree_6,OPENACC,False,-36.2758,
AA,unrooted,LG,tree_6,VANILA,False,-36.2758,
AA,unrooted,LG,tree_7,OPENACC,False,-51.49,
AA,unrooted,LG,tree_7,VANILA,False,-51.49,
AA,unrooted,LG,tree_8,OPENACC,False,-59.9108,
AA,unrooted,LG,tree_8,VANILA,False,-59.9108,
AA,unrooted,LG,tree_9,OPENACC,False,-46.0654,
AA,unrooted,LG,tree_9,VANILA,False,-46.0654,
AA,unrooted,LG+C60,tree_1,OPENACC,False,-89.5385,1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,unrooted,LG+C60,tree_1,VANILA,False,-40.979,1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,unrooted,LG+C60,tree_10,OPENACC,False,-67.8917,1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,unrooted,LG+C60,tree_10,VANILA,False,-34.678,1         0.0000         0.2500 |   2         0.0000         0.2500 |   3         0.0000         0.2500 |   4         4.0000         0.2500
AA,unrooted,LG+C60,tree_2,OPENACC,False,-66.019,1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
