data_type,topology,model,tree,ll_OPENACC,ll_VANILA,ll_diff,underflow_OPENACC,underflow_VANILA,pinvar_OPENACC,pinvar_VANILA,gamma_OPENACC,gamma_VANILA,opt_time_OPENACC,opt_time_VANILA
AA,unrooted,LG+I+G4,tree_2,-51.1984,-51.1984,0.0,0,0,0.3994,0.3994,998.5307,998.5307,0.518,0.041
AA,unrooted,LG+I+G4,tree_3,-42.4307,-42.4307,0.0,0,0,0.0,0.0,998.4398,998.4398,0.63,0.05
AA,unrooted,LG+I+G4,tree_4,-52.6315,-52.6315,0.0,0,0,0.497,0.497,998.4453,998.4453,0.452,0.033
AA,unrooted,LG+I+G4,tree_5,-38.9141,-38.9141,0.0,0,0,0.0,0.0,998.4406,998.4406,0.46,0.036
AA,unrooted,LG+I+G4,tree_6,-51.6059,-51.6059,0.0,0,0,0.4546,0.4546,0.577,0.577,0.502,0.041
AA,unrooted,LG+I+G4,tree_7,-53.4563,-53.4563,0.0,0,0,0.0,0.0,0.5708,0.5708,0.523,0.043
AA,unrooted,LG+I+G4,tree_8,-32.4813,-32.4813,0.0,0,0,0.0,0.0,998.4477,998.4477,0.338,0.03
AA,unrooted,LG+I+G4,tree_9,-44.1309,-44.1309,0.0,0,0,0.263,0.263,0.1277,0.1277,0.582,0.047
AA,unrooted,LG+R4,tree_1,-41.6522,-41.6627,0.010500000000000398,0,0,,,,,0.0669670105,0.014
AA,unrooted,LG+R4,tree_10,-52.4929,-51.0529,1.4399999999999977,0,0,,,,,0.0691299438,0.032
AA,unrooted,LG+R4,tree_2,-49.1831,-47.7273,1.4558000000000035,0,0,,,,,0.068185091,0.035
AA,unrooted,LG+R4,tree_3,-43.9513,-43.3237,0.627600000000001,0,0,,,,,0.057901144,0.019
AA,unrooted,LG+R4,tree_4,-46.5398,-46.4772,0.06259999999999621,0,0,,,,,0.0520100594,0.011
AA,unrooted,LG+R4,tree_5,-60.4554,-60.1078,0.3475999999999999,0,0,,,,,0.0563409328,0.027
AA,unrooted,LG+R4,tree_6,-32.1684,-32.1779,0.009500000000002728,0,0,,,,,0.0515270233,0.011
AA,unrooted,LG+R4,tree_7,-54.6106,-54.4718,0.13879999999999626,0,0,,,,,0.0490300655,0.01
AA,unrooted,LG+R4,tree_8,-66.4528,-65.559,0.8937999999999988,0,0,,,,,0.0745649338,0.011
AA,unrooted,LG+R4,tree_9,-45.4018,-43.6386,1.7632000000000048,0,0,,,,,0.0640921593,0.011
